Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
94,10.2949163640064,9.529945634198999,-8.857034283158347,[-0.94000732 -0.30862835  0.14537803],[ 0.11997324 -0.6979703  -0.70600559],[ 0.31936288 -0.64620895  0.69312433]
95,10.31629067975653,9.51665459887033,-8.867103627235368,[-0.93910716 -0.31061933  0.14694684],[ 0.1211447  -0.69946222 -0.70432703],[ 0.32156135 -0.64363673  0.69449986]
96,10.315533304558873,9.515820968938236,-8.866906522122292,[-0.93908018 -0.31067439  0.14700284],[ 0.12115391 -0.69947553 -0.70431223],[ 0.32163666 -0.64359568  0.69450303]
97,10.260900386796074,9.543129439528434,-8.888649791741642,[-0.9413377  -0.30618278  0.14189939],[ 0.11945163 -0.69557587 -0.7084529 ],[ 0.31561788 -0.64994331  0.69134582]
98,10.260616702626425,9.542165210427683,-8.889457815629157,[-0.94130752 -0.30625466  0.14194451],[ 0.11949425 -0.69561508 -0.70840722],[ 0.31569175 -0.64986749  0.69138337]
99,10.237914606520775,9.561844635633209,-8.874276669392355,[-0.94198777 -0.30468302  0.14080942],[ 0.11835281 -0.69408368 -0.7100989 ],[ 0.3140886  -0.65223929  0.68987843]
100,10.290094223198972,9.536129457357733,-8.852144566058112,[-0.9398959  -0.3088365   0.14565614],[ 0.11985705 -0.69781873 -0.70617513],[ 0.31973424 -0.64627319  0.69289319]
101,10.294037704441022,9.54207652523312,-8.84739742340201,[-0.94033325 -0.30782139  0.14498056],[ 0.11943149 -0.69758368 -0.7064794 ],[ 0.31860554 -0.64701082  0.69272469]
102,10.291214897292527,9.525597009817812,-8.859808229805804,[-0.94005931 -0.3085182   0.14527565],[ 0.11994066 -0.69792831 -0.70605263],[ 0.31922208 -0.64630689  0.69309788]
103,10.308772836465288,9.511934969415869,-8.873894266341672,[-0.93916584 -0.31054946  0.14671933],[ 0.12116959 -0.69928355 -0.70450014],[ 0.32138055 -0.64386454  0.69437237]
104,10.243592625732447,9.53818101253459,-8.904725246174516,[-0.94121533 -0.30626586  0.14253045],[ 0.11887591 -0.69523201 -0.70888713],[ 0.31619966 -0.650272    0.69077066]
105,10.243735402629692,9.540903731625406,-8.90174166227205,[-0.9412665  -0.30610776  0.14253216],[ 0.1187198  -0.69517369 -0.70897049],[ 0.31610598 -0.65040878  0.69068476]
106,10.240611421080331,9.54072764418704,-8.903075391990772,[-0.94134321 -0.30593463  0.14239719],[ 0.11862978 -0.69506412 -0.70909297],[ 0.31591127 -0.65060731  0.69058685]
107,10.240307858797713,9.54107953519815,-8.902751339903853,[-0.94140924 -0.30579659  0.14225711],[ 0.11858514 -0.69498212 -0.70918081],[ 0.31573122 -0.65075979  0.69052552]
108,10.237862242093614,9.542066252478751,-8.904098180483164,[-0.94149441 -0.30561051  0.14209322],[ 0.11848423 -0.69482607 -0.70935056],[ 0.31551507 -0.65101378  0.69038489]
109,10.22688112518475,9.555494567016922,-8.883834976760518,[-0.94242089 -0.30375003  0.13992419],[ 0.11803613 -0.69358226 -0.71064134],[ 0.31290627 -0.65320714  0.68949989]
110,10.251707934895173,9.534596194827715,-8.902435754014398,[-0.94125796 -0.30646716  0.14181441],[ 0.11972169 -0.69553144 -0.70845094],[ 0.31575333 -0.64985683  0.69136527]
