Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
91,10.320740388866284,1.2380966234885273,-11.03841938327254,[-0.9996824   0.00117276  0.02517394],[-5.42122178e-04 -9.99686222e-01  2.50432510e-02],[0.02519541 0.02502165 0.99936936]
92,9.166224540880265,0.6390532444471524,-10.958073501234653,[-0.99868215 -0.00654854 -0.05090264],[ 0.00911614 -0.99868882 -0.05037404],[-0.05050602 -0.05077169  0.99743239]
93,10.200066838300224,0.8514138814638684,-10.858426471676234,[-0.998096    0.00625437  0.06136164],[-0.00248633 -0.99811677  0.06129222],[0.06162943 0.06102296 0.99623191]
94,10.360668791455982,1.719108705208018,-10.754319090637182,[ 9.99999988e-01  2.60384390e-06 -1.53051053e-04],[-2.58004240e-06  9.99999988e-01  1.55513459e-04],[ 1.53051456e-04 -1.55513063e-04  9.99999976e-01]
95,9.913679932975219,0.7478763628959555,-10.915142567664804,[-0.99955533  0.00330602  0.02963461],[-0.00243159 -0.99956198  0.02949468],[0.02971914 0.02940951 0.99912554]
96,9.12635040256193,0.09947574803935888,-10.796612535806064,[-0.99998311  0.00112275  0.00570258],[-0.00109027 -0.99998318  0.00569682],[0.00570888 0.00569051 0.99996751]
97,10.030706951183094,1.677006249016189,-10.763081684614546,[ 9.99298422e-01 -8.60802018e-04  3.74422715e-02],[ 0.00228267  0.99927708 -0.03794874],[-0.03738254  0.03800758  0.99857797]
98,10.057799064479077,1.1987396275693025,-10.730779747787116,[-9.99937233e-01 -4.68568352e-04 -1.11941877e-02],[ 5.91975600e-04 -9.99939065e-01 -1.10234567e-02],[-0.01118834 -0.01102939  0.99987658]
99,9.870347377832564,1.6783167427931764,-10.694008427337575,[ 0.99883845 -0.00135621  0.04816552],[ 0.00372678  0.99878388 -0.04916162],[-0.04804027  0.04928402  0.9976288 ]
100,10.697612537518825,1.3131378610014375,-10.574718691637704,[ 9.99780381e-01 -4.52806016e-04 -2.09519463e-02],[8.99748354e-04 9.99772143e-01 2.13272745e-02],[ 0.02093752 -0.02134144  0.99955298]
103,9.595262479067447,1.500340780971587,-10.599130467968234,[-0.99693983 -0.001328   -0.07816142],[ 0.00737122 -0.99699769 -0.07707961],[-0.0778244  -0.07741988  0.9939565 ]
105,7.213988809871004,0.7832849215174266,-10.247363767032176,[-0.94141045 -0.0397883  -0.33490782],[ 0.14839623 -0.94059352 -0.30538893],[-0.30286121 -0.33719539  0.891389  ]
106,10.721667172391973,0.24179061217749853,-10.628138904480398,[0.98829618 0.02937555 0.14969213],[-0.00643399  0.98843749 -0.15149234],[-0.15241149  0.14875618  0.977058  ]
107,7.001465131737843,1.4867985021175727,-10.187950075904519,[-0.89492398 -0.00965953 -0.44611406],[ 0.2012168  -0.90108224 -0.38413878],[-0.39827486 -0.43354065  0.80834376]
108,10.42963812953403,1.4286536223991377,-10.290106989890026,[9.99985411e-01 1.74856578e-04 5.39873309e-03],[-1.45813707e-04  9.99985520e-01 -5.37949654e-03],[-0.0053996   0.00537863  0.99997096]
109,9.413146093980751,1.3999135864253307,-10.449591764001244,[-0.99583007 -0.00327268 -0.09116885],[ 0.01152207 -0.99586551 -0.09010617],[-0.09049702 -0.09078089  0.99175053]
110,10.29189822334657,1.2995855509748466,-10.316927239563485,[0.99898093 0.00214689 0.04508328],[-1.10484235e-04  9.98981396e-01 -4.51238198e-02],[-0.04513423  0.04507285  0.9979636 ]
111,10.345108757962384,1.4841372577909544,-10.348098592762154,[9.99998259e-01 3.28889439e-05 1.86580098e-03],[-2.93927000e-05  9.99998244e-01 -1.87385326e-03],[-0.00186586  0.0018738   0.9999965 ]
113,9.562193314742341,2.7576891284109455,-10.266940672536855,[ 0.99633372  0.01600486 -0.08404147],[-0.00883092  0.99633758  0.08504967],[ 0.08509488 -0.08399569  0.99282606]
114,9.705183009066578,0.6555964250896122,-10.209739022818894,[-0.99953772  0.00349761  0.03020137],[-0.0025678  -0.99952316  0.03077111],[0.03029459 0.03067934 0.99907008]
115,9.968757394845891,1.797756072795599,-10.140599312547831,[ 0.99986094  0.00102628 -0.0166448 ],[-7.48405762e-04  9.99860399e-01  1.66920003e-02],[ 0.01665961 -0.01667722  0.99972213]
116,9.842511921591075,1.229727675946249,-10.174909586391458,[-9.98994296e-01 -8.41699598e-04 -4.48295353e-02],[ 0.00284534 -0.99899866 -0.04464958],[-0.04474706 -0.04473223  0.99799636]
117,10.164696364632736,1.1232301011625208,-10.254619464331025,[-9.99788425e-01  7.03478844e-04  2.05574921e-02],[-2.80259976e-04 -9.99788114e-01  2.05827202e-02],[0.02056762 0.0205726  0.99957678]
118,9.564720214282543,0.8716796808927416,-10.116705835123046,[-0.99985573 -0.00140001 -0.01692789],[ 0.00168497 -0.99985692 -0.01683132],[-0.01690191 -0.01685742  0.99971504]
119,9.281997573979165,0.7438070438245333,-10.084683638351338,[-0.99901279 -0.00453013 -0.04419192],[ 0.0064701  -0.99901695 -0.04385501],[-0.04394981 -0.04409765  0.99806002]
120,9.751208290105875,1.9193288813044571,-9.898678955963288,[ 9.99972079e-01  6.16552940e-04 -7.44720592e-03],[-5.60332227e-04  9.99971349e-01  7.54896444e-03],[ 0.00745165 -0.00754458  0.99994377]
121,9.5598358805142,0.05038929446790341,-9.971853292955082,[-0.99419128  0.02262312  0.10522305],[-0.01123304 -0.99413026  0.10760507],[0.10703978 0.10579805 0.98860976]
122,9.195009134247753,-0.47259597414598997,-9.746625384714514,[-0.98933913  0.04341279  0.13900872],[-0.02320366 -0.98933066  0.14382776],[0.14376956 0.13906892 0.97979087]
123,9.93021458076119,0.998036119211706,-9.888434848953933,[-0.99941756  0.00263111  0.03402366],[-0.00149223 -0.9994391   0.03345521],[0.0340926  0.03338496 0.99886092]
124,10.73637465454315,1.465049378440405,-9.69499192558937,[ 9.97026077e-01 -3.02956454e-04 -7.70643192e-02],[0.00635165 0.99691307 0.0782559 ],[ 0.07680272 -0.07851266  0.99395025]
125,9.840013145809733,1.3608263428489897,-9.774003338162844,[-9.98920448e-01 -8.78114577e-04 -4.64453111e-02],[ 0.00297815 -0.99897509 -0.0451653 ],[-0.04635805 -0.04525486  0.99789926]
126,9.856202344480305,1.352143778563269,-9.757364785497833,[-9.99244810e-01 -8.19591748e-04 -3.88476244e-02],[ 0.00228047 -0.99929117 -0.03757603],[-0.03878929 -0.03763624  0.99853838]
127,10.040679513148405,1.4052578169993575,-9.7046717634289,[-9.99869965e-01 -1.80085986e-04 -1.61251807e-02],[ 4.31343695e-04 -9.99878538e-01 -1.55795770e-02],[-0.01612042 -0.01558451  0.9997486 ]
128,9.777799911774874,1.5957237814815461,-9.79522270800356,[ 0.99890026 -0.00116772  0.04687109],[ 0.00344275  0.9988179  -0.04848658],[-0.04675906  0.04859462  0.99772349]
129,9.490193703372853,1.1411328814888917,-9.706381828205174,[-0.99683362 -0.00334665 -0.07944522],[ 0.00943273 -0.99703599 -0.07635615],[-0.0789542  -0.07686376  0.99391056]
130,9.56648805710783,0.6974397743643881,-9.641945411690571,[-9.99984440e-01  6.20859795e-04  5.54392278e-03],[-5.91046371e-04 -9.99985365e-01  5.37769673e-03],[0.00554718 0.00537434 0.99997017]
131,7.8483505214728515,1.1221053884522703,-9.437719754583545,[-0.93645393 -0.01301232 -0.35054917],[ 0.12982293 -0.94121359 -0.31187014],[-0.32588349 -0.33756134  0.88309246]
132,9.95835173482985,1.5518413677926017,-9.536085640712733,[ 9.99999780e-01 -1.91600491e-05  6.63053873e-04],[ 1.96167968e-05  9.99999763e-01 -6.88854976e-04],[-6.63040517e-04  6.88867832e-04  9.99999543e-01]
134,9.469457540588172,1.78968340478187,-9.623024254645426,[ 0.99981938 -0.0016749   0.01893163],[ 0.0020389   0.99981312 -0.0192242 ],[-0.01889589  0.01925932  0.99963595]
135,11.170583981937954,1.0068695747901593,-9.14330410845553,[ 0.98803214 -0.0061573  -0.15412519],[0.02986113 0.98793559 0.15195916],[ 0.1513301  -0.15474289  0.97629598]
136,11.203089801454388,1.1712315484773173,-9.079046801248415,[ 0.97987876 -0.00222612 -0.19958119],[0.04209844 0.97974748 0.19576161],[ 0.19510338 -0.2002247   0.96012746]
